toll_point_id_nacional,uf,escopo,regulador,jurisdicao,concessionaria_orgao,lote_concessao,codigo_praca,praca_portico,tipo_ponto,rodovia,km,municipio,sentido,latitude,longitude,eixos,valor_brl,tipo_valor,confianca_valor,confianca_geo,entra_no_calculo_pedagio,classe_cobranca,status_operacional,source_tarifa_url,source_geo_url
br_antt_071_ecovias_capixaba_sao_mateus,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P2 - São Mateus ,praca_fisica,BR-101,85.8,São Mateus,Crescente/Decrescente,-18.86397400,-39.93870500,4,27.20,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_071_ecovias_capixaba_sao_mateus,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P2 - São Mateus ,praca_fisica,BR-101,85.8,São Mateus,Crescente/Decrescente,-18.86397400,-39.93870500,5,34.00,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_071_ecovias_capixaba_sao_mateus,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P2 - São Mateus ,praca_fisica,BR-101,85.8,São Mateus,Crescente/Decrescente,-18.86397400,-39.93870500,6,40.80,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_071_ecovias_capixaba_sao_mateus,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P2 - São Mateus ,praca_fisica,BR-101,85.8,São Mateus,Crescente/Decrescente,-18.86397400,-39.93870500,7,47.60,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_071_ecovias_capixaba_sao_mateus,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P2 - São Mateus ,praca_fisica,BR-101,85.8,São Mateus,Crescente/Decrescente,-18.86397400,-39.93870500,8,54.40,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_071_ecovias_capixaba_sao_mateus,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P2 - São Mateus ,praca_fisica,BR-101,85.8,São Mateus,Crescente/Decrescente,-18.86397400,-39.93870500,9,61.20,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_066_ecovias_capixaba_aracruz,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P3 - Aracruz ,praca_fisica,BR-101,171.7,Aracruz,Crescente/Decrescente,-19.56309900,-40.17762100,2,12.80,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_066_ecovias_capixaba_aracruz,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P3 - Aracruz ,praca_fisica,BR-101,171.7,Aracruz,Crescente/Decrescente,-19.56309900,-40.17762100,3,19.20,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_066_ecovias_capixaba_aracruz,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P3 - Aracruz ,praca_fisica,BR-101,171.7,Aracruz,Crescente/Decrescente,-19.56309900,-40.17762100,4,25.60,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_066_ecovias_capixaba_aracruz,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P3 - Aracruz ,praca_fisica,BR-101,171.7,Aracruz,Crescente/Decrescente,-19.56309900,-40.17762100,5,32.00,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_066_ecovias_capixaba_aracruz,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P3 - Aracruz ,praca_fisica,BR-101,171.7,Aracruz,Crescente/Decrescente,-19.56309900,-40.17762100,6,38.40,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
